,TOTAL_RECORDS,TOTAL_SUM,MEAN,STD_DEV,MEDIAN,MAX,MIN,ZERO_RECORDS,NON_ZERO_RECORDS,NA_RECORDS,NULL_RECORDS,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,COLUMN_NAME
Population,2007992.0,23550.0,0.011728134375037351,0.26456989113667584,0.0,1.0,-1.0,1867162.0,140830.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,BUY_SELL_BINARY2
Arbitrage Present,37938.0,19214.0,0.5064579050028994,0.7012375726203323,1.0,1.0,-1.0,9552.0,28386.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BUY_SELL_BINARY2
Arbitrage Not Present,1970054.0,4336.0,0.0022009548976830075,0.23889703392793635,0.0,1.0,-1.0,1857610.0,112444.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,BUY_SELL_BINARY2
Population,2007992.0,1952982016911.0,972604.4809496253,558178.5566587815,977678.5,1935092.0,1.0,0.0,2007992.0,0.0,0.0,1.0,195735.0,390617.0,586430.0,782071.0,977683.0,1172328.0,1366580.0,1547019.0,1741000.0,POOL_1_HISTORICAL_VOL
Arbitrage Present,37938.0,49764363842.0,1311728.7111075965,304952.1225199022,1442230.0,1934316.0,2149.0,0.0,37938.0,0.0,0.0,2149.0,1007163.0,1203467.0,1342082.0,1441072.0,1442231.0,1443352.0,1444605.0,1445803.0,1446975.0,POOL_1_HISTORICAL_VOL
Arbitrage Not Present,1970054.0,1903217653069.0,966073.8502949665,559924.1322285635,962739.5,1935092.0,1.0,0.0,1970054.0,0.0,0.0,1.0,192444.0,384590.0,577211.0,769653.0,962743.0,1157084.0,1352519.0,1552632.0,1744175.0,POOL_1_HISTORICAL_VOL
Population,2007992.0,127034302831.0,63264.347084550136,43337.953461812365,55233.0,140830.0,1.0,0.0,2007992.0,0.0,0.0,1.0,11188.0,21005.0,30793.0,42713.0,55233.0,67703.0,83414.0,118221.0,130379.0,POOL_2_HISTORICAL_VOL
Arbitrage Present,37938.0,3327785332.0,87716.4144657072,25618.66137402914,94724.5,140777.0,127.0,0.0,37938.0,0.0,0.0,127.0,56572.0,69890.0,80803.0,90943.0,94726.0,98515.0,102303.0,106089.0,109877.0,POOL_2_HISTORICAL_VOL
Arbitrage Not Present,1970054.0,123706517499.0,62793.465305519545,43473.81518343805,54406.0,140830.0,1.0,0.0,1970054.0,0.0,0.0,1.0,11088.0,20768.0,30250.0,41914.0,54406.0,66907.0,82017.0,118732.0,130500.0,POOL_2_HISTORICAL_VOL
Population,2007992.0,9.488508315838054e+16,47253715731.128685,26649231113.459286,48096231413.37079,93593371022.06035,13512.562679,0.0,2007992.0,0.0,0.0,13512.562679,10583107348.441887,19568174835.23688,28350382109.039425,39605208148.07736,48096234995.46981,54066371523.04048,66917321865.81775,76160681036.74664,82793577778.03514,POOL_1_HISTORICAL_TRADE_VAL
Arbitrage Present,37938.0,2413230580900479.5,63609852414.47835,14765774882.42531,70171422290.30673,93557510575.09265,97159554.46986514,0.0,37938.0,0.0,0.0,97159554.46986514,48834316291.103516,55320102701.672165,64971434960.45915,70165789534.26399,70171427152.10646,70176877606.89381,70182972956.45091,70188800939.24925,70194501749.87872,POOL_1_HISTORICAL_TRADE_VAL
Arbitrage Not Present,1970054.0,9.247185257748003e+16,46938740043.409996,26728415634.222927,47587500030.02821,93593371022.06035,13512.562679,0.0,1970054.0,0.0,0.0,13512.562679,10469000639.406862,19242367172.88242,27915717003.74339,38919708141.36994,47587570718.55585,53510200075.82394,65834134253.96725,76412398868.1233,82838702928.67947,POOL_1_HISTORICAL_TRADE_VAL
Population,2007992.0,7527348293721702.0,3748694364.1815815,3090239076.323547,2718668179.8511825,9625013286.028065,8979.675114,0.0,2007992.0,0.0,0.0,8979.675114,459481599.76178205,945427206.5822798,1344212384.8417208,1967222785.3575926,2718668179.8511825,3234911256.9990983,5283318944.544031,7835320219.278481,8679385970.257715,POOL_2_HISTORICAL_TRADE_VAL
Arbitrage Present,37938.0,206872490551590.6,5452909762.021999,1900446140.2333155,6085988943.034154,9621925472.321058,5837299.7002639985,0.0,37938.0,0.0,0.0,5837299.7002639985,2762190489.498456,3613605915.4137087,4969068664.974256,5882978794.487886,6085996249.618903,6316082809.735511,6506409722.112448,6727751184.324165,6900616459.937018,POOL_2_HISTORICAL_TRADE_VAL
Arbitrage Not Present,1970054.0,7320475803170112.0,3715875708.5694666,3099503202.5545435,2689825197.23668,9625013286.028065,8979.675114,0.0,1970054.0,0.0,0.0,8979.675114,457818073.3154182,938075070.3633757,1326637292.6454313,1912858630.9316359,2689825197.23668,3196834119.6095586,5089052959.751121,7888281864.210007,8680435595.29564,POOL_2_HISTORICAL_TRADE_VAL
Population,2007992.0,5810287475.0,2893.5809878724617,1963.7182385518074,2644.0,14424.0,0.0,352.0,2007640.0,0.0,0.0,1.0,528.0,1056.0,1584.0,2113.0,2645.0,3196.0,3807.0,4529.0,5546.0,POOL_1_DAILY_VOL
Arbitrage Present,37938.0,149774414.0,3947.8732141915757,2181.3879617468715,3797.0,11750.0,1.0,0.0,37938.0,0.0,0.0,1.0,1268.0,1778.0,2368.0,3094.0,3797.0,4434.0,5250.0,6199.0,7142.0,POOL_1_DAILY_VOL
Arbitrage Not Present,1970054.0,5660513061.0,2873.2781238483817,1953.7141937518243,2628.0,14424.0,0.0,352.0,1969702.0,0.0,0.0,1.0,522.0,1044.0,1570.0,2099.0,2628.0,3175.0,3782.0,4499.0,5504.0,POOL_1_DAILY_VOL
Population,2007992.0,787420028.0,392.14301052992244,1854.3959009234038,143.0,22853.0,0.0,20849.0,1987143.0,0.0,0.0,1.0,24.0,52.0,81.0,112.0,145.0,183.0,232.0,296.0,415.0,POOL_2_DAILY_VOL
Arbitrage Present,37938.0,257700337.0,6792.67059412726,7197.831698899353,3372.5,22623.0,0.0,27.0,37911.0,0.0,0.0,1.0,156.0,295.0,568.0,1273.0,3391.0,7172.0,10958.0,14745.0,18529.0,POOL_2_DAILY_VOL
Arbitrage Not Present,1970054.0,529719691.0,268.88587368671114,1305.0781826694272,140.0,22853.0,0.0,20822.0,1949232.0,0.0,0.0,1.0,24.0,51.0,80.0,110.0,142.0,179.0,226.0,287.0,391.0,POOL_2_DAILY_VOL
Population,2007992.0,308136728747333.2,153455157.5640407,152064924.15495187,114615018.7726745,1492551789.922687,0.0,352.0,2007640.0,0.0,0.0,0.048075,16916071.133644,37914602.235567,61529709.533108,86695620.020429,114635735.79879,145076599.712804,177706674.134692,230757768.378076,337641978.943861,POOL_1_DAILY_VAL
Arbitrage Present,37938.0,5027186745511.012,132510589.52794063,129784792.7814543,78276445.856997,1311114281.645044,164859.431401,0.0,37938.0,0.0,0.0,164859.431401,56607790.767286,62084728.415415,67170659.996127,72394759.530714,78276445.856997,83345173.702437,119420534.352666,167023601.809463,305544948.299492,POOL_1_DAILY_VAL
Arbitrage Not Present,1970054.0,303109542001822.1,153858494.23509312,152433817.45526096,115670636.696388,1492551789.922687,0.0,352.0,1969702.0,0.0,0.0,0.048075,16574563.222996,37271096.732751,60996857.592142,88099627.804065,115699959.169493,146061261.619816,178561721.889809,231468036.046587,338180605.386456,POOL_1_DAILY_VAL
Population,2007992.0,55294385402140.22,27537154.232756015,110446629.94682342,6240676.271037,1298747511.5422292,0.0,20849.0,1987143.0,0.0,0.0,0.009199,526895.964958,1525562.501989,2851177.371761,4465389.715487,6354740.340213,8929331.601189,12754995.238356,20730551.292113,39946186.355031,POOL_2_DAILY_VAL
Arbitrage Present,37938.0,15340336536141.588,404352800.2567765,401427023.52775526,231721166.92381603,1279445547.532895,0.0,27.0,37911.0,0.0,0.0,149.917722,9692850.457289001,25791637.951021,61308555.086266,116272651.83528301,231806257.480134,466948517.483884,661675560.815634,843267020.011805,1063412171.270951,POOL_2_DAILY_VAL
Arbitrage Not Present,1970054.0,39954048865998.625,20280687.161874052,80890308.59870234,6056171.318824,1298747511.5422292,0.0,20822.0,1949232.0,0.0,0.0,0.009199,509269.059407,1477712.646924,2779668.4967549997,4363634.339412,6168248.368556,8592609.267188,12300533.270579,19367326.627971,34464164.489828,POOL_2_DAILY_VAL
Population,2007992.0,95487494.0,47.55372232558695,418.6089736826199,2.0,6932.0,0.0,352.0,2007640.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,8.0,21.0,TRADER_POOL1_DAILY_VOL
Arbitrage Present,37938.0,78825335.0,2077.740919394802,2243.780643666076,1153.0,6931.0,1.0,0.0,37938.0,0.0,0.0,1.0,3.0,8.0,45.0,436.0,1153.0,2178.0,3309.0,4571.0,5750.0,TRADER_POOL1_DAILY_VOL
Arbitrage Not Present,1970054.0,16662159.0,8.457716895069881,27.526184891319343,2.0,6932.0,0.0,352.0,1969702.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,18.0,TRADER_POOL1_DAILY_VOL
Population,2007992.0,253589108.0,126.28989956135284,1340.3989468054053,1.0,22158.0,0.0,33949.0,1974043.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,TRADER_POOL2_DAILY_VOL
Arbitrage Present,37938.0,249986913.0,6589.354024988139,7246.959028209791,3223.5,22158.0,0.0,50.0,37888.0,0.0,0.0,1.0,1.0,3.0,15.0,1112.0,3250.0,7030.0,10813.0,14597.0,18378.0,TRADER_POOL2_DAILY_VOL
Arbitrage Not Present,1970054.0,3602195.0,1.8284752600690133,6.02975808235426,1.0,632.0,0.0,33899.0,1936155.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,TRADER_POOL2_DAILY_VOL
Population,2007992.0,2242104359335.492,1116590.2848893283,5184539.873727629,14829.132342,141382244.529384,0.0,352.0,2007640.0,0.0,0.0,1e-06,353.911119,1069.073262,2650.0,5992.086489,14843.714014000001,46769.384766,144899.989588,438061.252615,1856980.616686,TRADER_POOL1_DAILY_VAL
Arbitrage Present,37938.0,707001747639.55,18635714.78832701,23696996.078228556,12183266.444676,124199591.724858,0.221289,0.0,37938.0,0.0,0.0,0.221289,506701.110248,1790252.1260459998,4142818.8096209997,7778782.445773,12184360.503595,16945299.5741,22496093.839179,27618784.359897,32928737.966236,TRADER_POOL1_DAILY_VAL
Arbitrage Not Present,1970054.0,1535102611695.9424,779218.5451241146,3249487.105356003,13405.3726725,141382244.529384,0.0,352.0,1969702.0,0.0,0.0,1e-06,343.920776,1030.614608,2506.503218,5594.014634,13418.867263,40579.11936,127273.636136,370009.338475,1484317.573343,TRADER_POOL1_DAILY_VAL
Population,2007992.0,14551724922480.537,7246903.833521517,76147862.99318543,8381.705471,1224293591.888691,0.0,33949.0,1974043.0,0.0,0.0,1e-06,187.10314,742.016139,1728.694769,3759.395867,9168.02146,32210.408938,70284.893775,131254.6875,292857.572017,TRADER_POOL2_DAILY_VAL
Arbitrage Present,37938.0,14330761952273.947,377741629.8242909,408620746.2788797,205467073.134826,1224293591.888691,0.0,50.0,37888.0,0.0,0.0,0.3,59956.806321,280449.900015,3805500.174974,67207580.720569,205595966.82134202,446742685.960096,646199874.619001,828963427.2562851,1049093921.632742,TRADER_POOL2_DAILY_VAL
Arbitrage Not Present,1970054.0,220962970206.5873,112160.86980691255,733205.9003091829,7585.972781,102839442.713582,0.0,33899.0,1936155.0,0.0,0.0,1e-06,180.763855,708.487158,1634.914756,3546.134375,8381.705471,28645.148727,64647.631776,120320.666616,257943.983752,TRADER_POOL2_DAILY_VAL
Population,2007992.0,1713837990.0,853.5083755313766,2150.9358784711785,10.0,21285.0,1.0,0.0,2007992.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,10.0,31.0,168.0,929.0,2926.0,TRADER_POOL1_HISTORICAL_VOL
Arbitrage Present,37938.0,144206239.0,3801.102825662924,3075.5902903637457,3555.0,19214.0,1.0,0.0,37938.0,0.0,0.0,1.0,17.0,279.0,1416.0,2504.0,3556.0,4575.0,5707.0,6906.0,7993.0,TRADER_POOL1_HISTORICAL_VOL
Arbitrage Not Present,1970054.0,1569631751.0,796.7455465687742,2088.7624249527325,10.0,21285.0,1.0,0.0,1970054.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,10.0,27.0,140.0,795.0,2694.0,TRADER_POOL1_HISTORICAL_VOL
Population,2007992.0,467096218.0,232.61856521340724,1644.9687546340035,3.0,25006.0,0.0,5855.0,2002137.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,26.0,104.0,317.0,TRADER_POOL2_HISTORICAL_VOL
Arbitrage Present,37938.0,314310421.0,8284.844245874849,8280.005516206525,6043.5,24967.0,0.0,1.0,37937.0,0.0,0.0,1.0,3.0,27.0,363.0,2297.0,6046.0,9831.0,13619.0,17408.0,21194.0,TRADER_POOL2_HISTORICAL_VOL
Arbitrage Not Present,1970054.0,152785797.0,77.55411628310696,406.3883230829445,3.0,25006.0,0.0,5854.0,1964200.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,22.0,90.0,283.0,TRADER_POOL2_HISTORICAL_VOL
Population,2007992.0,203004019905023.9,101098022.25557867,360825336.05332464,170456.3807145,4354133030.373057,1e-06,0.0,2007992.0,0.0,0.0,1e-06,684.035383,3036.646826,10982.907222,45247.923864,170458.776346,678970.584493,6655883.783124,50790936.364668,254543797.941814,TRADER_POOL1_HISTORICAL_VAL
Arbitrage Present,37938.0,9759757260419.45,257255449.9557027,397877500.1255399,238590116.13373202,3805030705.428522,0.221289,0.0,37938.0,0.0,0.0,0.221289,2966395.334262,33928001.308109,145155939.266106,232782400.823798,238590116.13373202,243865556.89731202,249722282.95515302,255706685.864831,261329043.665531,TRADER_POOL1_HISTORICAL_VAL
Arbitrage Not Present,1970054.0,193244262644604.5,98090845.55276377,359409255.0147001,153186.3594425,4354133030.373057,1e-06,0.0,1970054.0,0.0,0.0,1e-06,655.706749,2933.213165,10223.130772,40401.054628,153190.839996,569205.334904,5218276.002943,41467651.822699,245249010.831806,TRADER_POOL1_HISTORICAL_VAL
Population,2007992.0,32106474241761.434,15989343.703441763,93267763.44805333,52599.964202,1387359852.3503351,0.0,5855.0,2002137.0,0.0,0.0,1e-06,334.672052,1314.84174,3894.808377,12230.009433,53552.502135,191108.247405,1350005.445316,7502212.529475,26951197.9138,TRADER_POOL2_HISTORICAL_VAL
Arbitrage Present,37938.0,17785391369269.555,468801501.6413505,461474026.005561,351078349.208987,1387021692.709893,0.0,1.0,37937.0,0.0,0.0,0.3,207110.96378,3627988.549362,32838174.242309,117463441.362036,351090514.184696,592261591.031707,792929724.1930981,974530940.074282,1194685812.0245562,TRADER_POOL2_HISTORICAL_VAL
Arbitrage Not Present,1970054.0,14321082872491.871,7269385.952106831,27220331.42363122,48081.781326,1387359852.3503351,0.0,5854.0,1964200.0,0.0,0.0,1e-06,319.579279,1256.127057,3692.975722,11106.65503,48789.0625,164350.743015,1107438.642878,6383443.659035,23672314.894889,TRADER_POOL2_HISTORICAL_VAL
Population,2007992.0,292557728672.0,145696.66048071906,208411.772077874,32004.0,723558.0,1.0,0.0,2007992.0,0.0,0.0,1.0,731.0,3279.0,7972.0,16110.0,32005.0,61666.0,131832.0,329022.0,526110.0,SMART_CONTRACT_POOL_1_HISTORICAL_VOL
Arbitrage Present,37938.0,1099935630.0,28992.97880752807,102412.93067964917,4860.5,718890.0,1.0,0.0,37938.0,0.0,0.0,1.0,431.0,1401.0,2754.0,3838.0,4861.0,5974.0,7127.0,8169.0,26751.0,SMART_CONTRACT_POOL_1_HISTORICAL_VOL
Arbitrage Not Present,1970054.0,291457793042.0,147944.06297593872,209290.74035338365,33677.0,723558.0,1.0,0.0,1970054.0,0.0,0.0,1.0,745.0,3389.0,8541.0,17230.0,33677.0,63752.0,141263.0,335070.0,529068.0,SMART_CONTRACT_POOL_1_HISTORICAL_VOL
Population,2007992.0,17310778272.0,8620.939860318169,10536.069593937902,3599.0,36415.0,0.0,10911.0,1997081.0,0.0,0.0,1.0,44.0,236.0,690.0,1657.0,3665.0,6821.0,10865.0,17941.0,27085.0,SMART_CONTRACT_POOL_2_HISTORICAL_VOL
Arbitrage Present,37938.0,385425162.0,10159.343191523012,8588.949715971843,8703.0,36385.0,0.0,14.0,37924.0,0.0,0.0,1.0,99.0,692.0,2985.0,5960.0,8708.0,11973.0,15546.0,19200.0,22746.0,SMART_CONTRACT_POOL_2_HISTORICAL_VOL
Arbitrage Not Present,1970054.0,16925353110.0,8591.314304074913,10567.850536445067,3499.0,36415.0,0.0,10897.0,1959157.0,0.0,0.0,1.0,44.0,231.0,675.0,1617.0,3577.0,6650.0,10720.0,17889.0,27276.0,SMART_CONTRACT_POOL_2_HISTORICAL_VOL
Population,2007992.0,6580715571616297.0,3277261847.465676,4071480974.558789,1264525337.1112905,14259432680.016212,8e-06,0.0,2007992.0,0.0,0.0,8e-06,17534806.471454,98899507.699297,268330870.656826,607690603.549002,1264538412.747948,2146175544.384784,4253364355.647203,7000676369.70643,10427077051.231096,SMART_CONTRACT_POOL_1_HISTORICAL_VAL
Arbitrage Present,37938.0,34180663695626.0,900961139.1118667,2259372176.6051307,208333338.987107,14185465210.856392,1043.696536,0.0,37938.0,0.0,0.0,1043.696536,49867203.893163,133899421.89881,197352321.295746,202970431.250526,208333338.987107,214321827.491301,220183822.267782,225894307.12872902,2025598461.942356,SMART_CONTRACT_POOL_1_HISTORICAL_VAL
Arbitrage Not Present,1970054.0,6546534907920674.0,3323023078.514941,4084978260.99037,1319827104.503098,14259432680.016212,8e-06,0.0,1970054.0,0.0,0.0,8e-06,17223247.474074,97431098.721917,295466218.917079,652779909.525895,1319833171.634857,2181315304.739948,4372583557.313508,7109671990.173103,10563440020.173578,SMART_CONTRACT_POOL_1_HISTORICAL_VAL
Population,2007992.0,533861725576086.94,265868452.45204508,359794181.36133265,102830790.525609,1740191930.104704,0.0,10911.0,1997081.0,0.0,0.0,1e-06,1046154.5256700001,9604049.031411,28919715.294287,59992819.971422,103933431.782703,161941505.93008,285702140.623128,511259638.347834,876152511.114888,SMART_CONTRACT_POOL_2_HISTORICAL_VAL
Arbitrage Present,37938.0,20447568957103.61,538973297.4090255,444419741.8287356,477860705.53321403,1738364564.093122,0.0,14.0,37924.0,0.0,0.0,20.583271,9531855.238327,56414351.451746,127181819.926712,315075216.507549,477911779.926664,665550156.828274,843605571.2229761,1016480639.900073,1205534968.281287,SMART_CONTRACT_POOL_2_HISTORICAL_VAL
Arbitrage Not Present,1970054.0,513414156618983.25,260609179.55496815,355917632.45116407,101404997.311374,1740191930.104704,0.0,10897.0,1959157.0,0.0,0.0,1e-06,1016141.81748,9318839.270549,28430985.37063,59332471.184177,102541929.498547,158056502.950433,274329221.01229,455503842.356936,868408605.620599,SMART_CONTRACT_POOL_2_HISTORICAL_VAL
Population,2007992.0,955605559.0,475.90107878915853,712.9504468033745,139.0,6932.0,0.0,352.0,2007640.0,0.0,0.0,1.0,5.0,18.0,41.0,79.0,139.0,242.0,480.0,955.0,1492.0,SMART_CONTRACT_POOL_1_DAILY_VOL
Arbitrage Present,37938.0,81592219.0,2150.672650113343,2195.6064978721056,1288.0,6931.0,1.0,0.0,37938.0,0.0,0.0,1.0,12.0,58.0,245.0,697.0,1288.0,2226.0,3309.0,4571.0,5750.0,SMART_CONTRACT_POOL_1_DAILY_VOL
Arbitrage Not Present,1970054.0,874013340.0,443.6494329597057,608.4416617414975,135.0,6932.0,0.0,352.0,1969702.0,0.0,0.0,1.0,5.0,18.0,41.0,78.0,136.0,234.0,456.0,919.0,1449.0,SMART_CONTRACT_POOL_1_DAILY_VOL
Population,2007992.0,306173473.0,152.47743666309427,1338.490097252468,12.0,22158.0,0.0,36063.0,1971929.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0,13.0,22.0,36.0,55.0,84.0,SMART_CONTRACT_POOL_2_DAILY_VOL
Arbitrage Present,37938.0,250287568.0,6597.278928778534,7239.806076659419,3223.5,22158.0,0.0,60.0,37878.0,0.0,0.0,1.0,4.0,19.0,90.0,1115.0,3255.0,7034.0,10816.0,14599.0,18379.0,SMART_CONTRACT_POOL_2_DAILY_VOL
Arbitrage Not Present,1970054.0,55885905.0,28.36770210359716,38.0358774633879,12.0,632.0,0.0,36003.0,1934051.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0,12.0,21.0,35.0,53.0,79.0,SMART_CONTRACT_POOL_2_DAILY_VOL
Population,2007992.0,25829238376387.82,12863217.76998505,20202004.495269526,4437757.563541,259812756.196799,0.0,352.0,2007640.0,0.0,0.0,1e-06,63475.533223,383370.847904,1080460.102995,2341110.697497,4440360.046106,8081442.417916,13591982.235902,21742186.875979,35646494.392405,SMART_CONTRACT_POOL_1_DAILY_VAL
Arbitrage Present,37938.0,837660383432.8135,22079719.105720215,25227142.93357551,15363939.0543105,205606308.675599,80.16371,0.0,37938.0,0.0,0.0,80.16371,1541716.195981,4033368.296783,7389669.207095,11192979.623258,15369533.94255,20131725.421138,25327920.130608,29874576.423119,45354533.915578,SMART_CONTRACT_POOL_1_DAILY_VAL
Arbitrage Not Present,1970054.0,24991577992954.973,12685732.468731808,20051378.907494124,4283990.9882424995,259812756.196799,0.0,352.0,1969702.0,0.0,0.0,1e-06,60417.800854999994,368566.25706599996,1039046.199193,2263286.013628,4286871.144419,7837049.7692,13279994.506145,21417538.207173,35561925.883199,SMART_CONTRACT_POOL_1_DAILY_VAL
Population,2007992.0,17012104782280.738,8472197.489970447,76149381.4832126,306080.508375,1224293591.888691,0.0,36063.0,1971929.0,0.0,0.0,1e-06,3272.886332,32563.657408,94676.896487,185023.816775,323054.128103,559606.067372,974387.168733,1688703.970438,3720392.450342,SMART_CONTRACT_POOL_2_DAILY_VAL
Arbitrage Present,37938.0,14361404222015.91,378549323.1592575,407910684.2962273,205467073.134826,1224293591.888691,0.0,60.0,37878.0,0.0,0.0,2.93584,285845.075026,1633022.453878,8804595.459713,67951928.638285,205620295.92329702,446762158.85898703,647401125.04364,828973147.444111,1049098790.0800691,SMART_CONTRACT_POOL_2_DAILY_VAL
Arbitrage Not Present,1970054.0,2650700560264.831,1345496.3976951044,4243638.334345489,293454.01184600004,172764689.080755,0.0,36003.0,1934051.0,0.0,0.0,1e-06,3118.130505,31047.819743,91665.367012,178505.145096,308695.050927,533279.2379899999,922115.0236750001,1582743.115531,3275344.973037,SMART_CONTRACT_POOL_2_DAILY_VAL
Population,2007992.0,-80534598169.0,-40107.03138707724,48946.53166616393,-25955.0,12149.0,-144995.0,73.0,2007919.0,0.0,0.0,-144995.0,-118489.0,-90928.0,-67950.0,-46057.0,-25958.0,-2990.0,2589.0,5345.0,9601.0,POOL_1_HISTORICAL_TRANSACTION_POSITION
Arbitrage Present,37938.0,-2551764428.0,-67261.4378196004,28419.54314908576,-79368.0,11994.0,-144825.0,0.0,37938.0,0.0,0.0,-144825.0,-84112.0,-82941.0,-81743.0,-80490.0,-79368.0,-78209.0,-65747.0,-49205.0,-28739.0,POOL_1_HISTORICAL_TRANSACTION_POSITION
Arbitrage Not Present,1970054.0,-77982833741.0,-39584.10974572271,49110.8210530732,-23719.0,12149.0,-144995.0,73.0,1969981.0,0.0,0.0,-144995.0,-119257.0,-91416.0,-66579.0,-43720.0,-23721.0,-1644.0,2678.0,5372.0,9750.0,POOL_1_HISTORICAL_TRANSACTION_POSITION
Population,2007992.0,14989121591.0,7464.7317275168425,9382.747818193948,2121.0,23759.0,-79.0,621.0,2007371.0,0.0,0.0,-79.0,819.0,1351.0,1670.0,1808.0,2121.0,3143.0,3755.0,23285.0,23482.0,POOL_2_HISTORICAL_TRANSACTION_POSITION
Arbitrage Present,37938.0,384767258.0,10142.001634245347,8006.5179296150645,8194.5,23735.0,-72.0,0.0,37938.0,0.0,0.0,-72.0,1701.0,2026.0,2897.0,4461.0,8196.0,11927.0,15671.0,19401.0,23127.0,POOL_2_HISTORICAL_TRANSACTION_POSITION
Arbitrage Not Present,1970054.0,14604354333.0,7413.174630238562,9399.795657835899,2110.0,23759.0,-79.0,621.0,1969433.0,0.0,0.0,-79.0,813.0,1340.0,1667.0,1796.0,2110.0,3013.0,3741.0,23288.0,23486.0,POOL_2_HISTORICAL_TRANSACTION_POSITION
Population,2007992.0,-412479940370359.0,-205419115.40004092,144301475.85936725,-177541609.0,72038801.0,-495474347.0,0.0,2007992.0,0.0,0.0,-495474347.0,-434230675.0,-378058627.0,-276454579.0,-216974855.0,-177540820.0,-132922463.0,-113827393.0,-96391835.0,-21157520.0,POOL_1_HISTORICAL_POSITION_VALUE
Arbitrage Present,37938.0,-10872434939178.0,-286584293.8261901,83069146.9075682,-315120749.0,69755829.0,-485936229.0,0.0,37938.0,0.0,0.0,-485936229.0,-338093244.0,-332436209.0,-326627667.0,-320542057.0,-315120749.0,-309590185.0,-281854186.0,-220400662.0,-171290060.0,POOL_1_HISTORICAL_POSITION_VALUE
Arbitrage Not Present,1970054.0,-401607505431181.0,-203856089.9504181,144781636.4179149,-174977654.0,72038801.0,-495474347.0,0.0,1970054.0,0.0,0.0,-495474347.0,-435060602.0,-379582289.0,-274054972.0,-211968804.0,-174977200.0,-131899796.0,-113130237.0,-95510050.0,-20454354.0,POOL_1_HISTORICAL_POSITION_VALUE
Population,2007992.0,-416976013354384.0,-207658204.4920418,327312152.350437,-15108622.0,67870006.0,-834842792.0,0.0,2007992.0,0.0,0.0,-834842792.0,-779113751.0,-717896008.0,-179273134.0,-48469374.0,-15108082.0,-598184.0,13851652.0,20716075.0,28534739.0,POOL_2_HISTORICAL_POSITION_VALUE
Arbitrage Present,37938.0,-10560353251576.0,-278358196.309136,252575896.02385655,-198639876.5,67870006.0,-834841541.0,0.0,37938.0,0.0,0.0,-834841541.0,-638928871.0,-556132123.0,-425540696.0,-330039174.0,-198635396.0,-136347655.0,-73151540.0,-24934737.0,12298451.0,POOL_2_HISTORICAL_POSITION_VALUE
Arbitrage Not Present,1970054.0,-406415660102808.0,-206296710.70072597,328435311.6210228,-14817105.0,67870006.0,-834842792.0,0.0,1970054.0,0.0,0.0,-834842792.0,-779373121.0,-718648176.0,-176414147.0,-47898544.0,-14817105.0,5366506.0,14087498.0,20972987.0,28582885.0,POOL_2_HISTORICAL_POSITION_VALUE
Population,2007992.0,-589625371.0,-293.63930284582807,664.5528464265165,-169.0,1310.0,-7476.0,6080.0,2001912.0,0.0,0.0,-7476.0,-733.0,-520.0,-376.0,-259.0,-171.0,-94.0,-34.0,10.0,86.0,POOL_1_DAILY_VOL_POSITION
Arbitrage Present,37938.0,-81513072.0,-2148.586430491855,2332.756506689158,-1218.0,1306.0,-7267.0,19.0,37919.0,0.0,0.0,-7267.0,-5904.0,-4729.0,-3467.0,-2339.0,-1221.0,-610.0,-306.0,-108.0,130.0,POOL_1_DAILY_VOL_POSITION
Arbitrage Not Present,1970054.0,-508112299.0,-257.9179550408263,527.0738848173362,-166.0,1310.0,-7476.0,6061.0,1963993.0,0.0,0.0,-7476.0,-707.0,-508.0,-366.0,-252.0,-167.0,-91.0,-33.0,11.0,85.0,POOL_1_DAILY_VOL_POSITION
Population,2007992.0,365861096.0,182.20246694209936,1811.3855148307468,3.0,21858.0,-2858.0,45812.0,1962180.0,0.0,0.0,-2858.0,-50.0,-28.0,-15.0,-5.0,4.0,12.0,25.0,41.0,69.0,POOL_2_DAILY_VOL_POSITION
