,TOTAL_RECORDS,TOTAL_SUM,MEAN,STD_DEV,MEDIAN,MAX,MIN,ZERO_RECORDS,NON_ZERO_RECORDS,NA_RECORDS,NULL_RECORDS,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,COLUMN_NAME
Population,2007992.0,97665412.23172376,48.638347280130475,250.74799367796,21.965205370152255,48477.11714408,1.0436518766340928,0.0,2007992.0,0.0,0.0,1.0436518766340928,6.6126646816083,10.037223191508938,13.33863616628378,17.33076098413912,21.965757080136207,27.12242698870623,36.02676441015059,50.60565577791702,85.63569829391562,p0.gas_fees_usd
Arbitrage Present,37938.0,5085284.172265722,134.04196774383792,1032.3133275386256,24.118375585996123,48477.11714408,1.6530326564901536,0.0,37938.0,0.0,0.0,1.6530326564901536,20.884917334672657,23.841054553043595,23.892456339089083,23.93470615357231,24.118375585996123,24.21511576732354,24.87598241060855,57.3597716767223,165.32696309530425,p0.gas_fees_usd
Arbitrage Not Present,1970054.0,92580128.05945812,46.99370071046688,208.37642685911948,21.54702010511019,48477.11714408,1.0436518766340928,0.0,1970054.0,0.0,0.0,1.0436518766340928,6.558212287145893,9.903158387943662,13.12611364833996,17.03165993715704,21.54702010511019,27.269193545821707,36.09175664085478,50.52371769489045,85.05508530214023,p0.gas_fees_usd
Population,2007992.0,372109053.5226143,185.31401196947712,479.5219758446889,57.10909673337735,48802.29013543283,1.2789960343058724,0.0,2007992.0,0.0,0.0,1.2789960343058724,12.121625139634489,19.6189449426231,28.127047897302504,38.78102471058837,57.10909673337735,94.42275752763904,162.27526508969217,262.3044229394774,443.2883940838934,p0.total_fees_usd
Arbitrage Present,37938.0,16677146.733142592,439.589507436939,1836.54763702645,38.760126575536674,48802.29013543283,2.7119543890139157,0.0,37938.0,0.0,0.0,2.7119543890139157,38.3721871736565,38.45271750888861,38.456888588482,38.63875120047634,38.760126575536674,42.30501948195841,67.69363230556714,281.17329771939967,831.4580958538332,p0.total_fees_usd
Arbitrage Not Present,1970054.0,355431906.7894719,180.41734226040094,410.0594617421766,57.727419116089294,48802.29013543283,1.2789960343058724,0.0,1970054.0,0.0,0.0,1.2789960343058724,11.990151336468497,19.34820564724434,27.517011393053057,39.1429157705124,57.727419116089294,95.62677103796736,163.3145748274541,262.20199043028657,440.7034000460605,p0.total_fees_usd
Population,2007992.0,-656.5601723269967,-0.0003269735000572695,0.002807115301303203,-0.0002247740461682,0.0927668750879938,-0.0791306638146444,0.0,2007992.0,0.0,0.0,-0.0791306638146444,-0.0023988269636041,-0.001886900221746,-0.0013364741613649,-0.0007817612161261,-0.0002247638659954,0.000358172976031,0.000952310717055,0.0015758691938343,0.0022485031166701,percent_change
Arbitrage Present,37938.0,-399.79114831013845,-0.010538013293008025,0.013094552629031505,-0.0169718066372817,0.0927668750879938,-0.0791306638146444,0.0,37938.0,0.0,0.0,-0.0791306638146444,-0.0209275872168726,-0.0197923809174142,-0.0188845227255944,-0.0179799073885999,-0.0169715608874637,-0.0151213114760897,-0.0038489473829029,0.0040670742911801,0.0081756749074912,percent_change
Arbitrage Not Present,1970054.0,-256.76902401685845,-0.00013033603343708266,0.0016380424236445035,-0.0001976548192584,0.0034997566803461,-0.0034998921393561,0.0,1970054.0,0.0,0.0,-0.0034998921393561,-0.0023493871908802,-0.0018292884857072,-0.0012910467259687,-0.0007459221634138,-0.0001976473236007,0.0003740288105517,0.000956934630647,0.001568004220946,0.0022301666315501,percent_change
Population,2007992.0,189908039.6119609,94.57609373541374,379.10124016857253,46.510493299904006,96676.36141263852,2.36369034290609,0.0,2007992.0,0.0,0.0,2.36369034290609,14.72977373296746,21.51261873618399,28.657112621116685,36.85194415235643,46.51063726753488,57.8347782239764,75.42272372347604,105.19373019385426,175.93017885250623,total_gas_fees_usd
